No,Style Category,Type,Keywords,Primary Colors,Secondary Colors,Effects & Animation,Best For,Do Not Use For,Light Mode ✓,Dark Mode ✓,Performance,Accessibility,Mobile-Friendly,Conversion-Focused,Framework Compatibility,Era/Origin,Complexity,AI Prompt Keywords,CSS/Technical Keywords,Implementation Checklist,Design System Variables
68,Bauhaus (包豪斯),Mobile,"bauhaus, geometric, constructivist, primary colors, hard shadow, bold, tactile, functional, poster, mechanical, architectural",原色红 #D02020、原色蓝 #1040C0、原色黄 #F0C020,背景 #F0F0F0（灰白色），前景 #121212（纯黑色），静音 #E0E0E0,硬偏移阴影（4px 4px 0px 黑色），机械印刷机活动：平移，无平滑悬停 - 即时 0ms 过渡，部分上的点网格图案，滑过过渡,移动优先的应用程序需要高度个性、引导流程、品牌化产品屏幕、工匠/设计品牌、编辑移动体验,企业仪表板、可访问性关键环境（需要额外的工作）、数据密集的屏幕、保守的行业,✓ Full,◐ Partial (primary palette only),⚡ 非常好,⚠ WCAG AA（高对比度原色；单独验证黄色文本）,✓ 移动优先,◐ 中等,React Native 10/10、Expo 10/10、SwiftUI 9/10、Flutter 9/10、Tailwind 9/10,1919 年包豪斯运动,中,"Design a Bauhaus mobile app. Use strict geometric shapes (circles and squares only), primary color blocking (Red #D02020, Blue #1040C0, Yellow #F0C020), hard 4px offset black shadows, OFF-WHITE canvas (#F0F0F0), massive bold uppercase headlines (Outfit Black 900), rectangular full-width buttons with mechanical press animation. No gradients. No rounded cards. No soft transitions.","border-radius: 0px (cards/inputs) or 9999px (buttons/FAB), box-shadow: 4px 4px 0px 0px #121212, active:translate-x-[2px] active:translate-y-[2px] active:shadow-none, border: 2px solid #121212, font-family: Outfit, font-weight: 900 uppercase tracking-tighter (headlines)",仅限几何形状（圆形/方形）、应用原色块、硬偏移阴影 4px、所有元素上的 border-2 边框为黑色、机械压力机活动状态、Outfit Black 900 大写标题、尊重安全区域（pt-safe pb-safe）、拇指友好的 h-12/h-14 触摸目标、无悬停状态（仅限移动设备）、垂直节奏单列堆栈,"--color-red: #D02020, --color-blue: #1040C0, --color-yellow: #F0C020, --color-bg: #F0F0F0, --color-fg: #121212, --border-width: 2px, --shadow-hard:4px 4px 0px 0px #121212, --radius-block: 0px, --radius-pill: 9999px, --font-display:Outfit, --font-weight-hero: 900"
69,Minimalist Monochrome,Mobile,"monochrome, black white, editorial, austere, typographic, sharp, zero radius, high contrast, brutalist, pocket editorial, serif, mechanical",纯黑#000000，纯白#FFFFFF,静音 #F5F5F5，深灰色 #525252，边框灯 #E5E5E5,即时反转活动状态（点击 → bg-黑色文本-白色，零过渡-无），无阴影（严格 2D），全出血水平规则（4px 黑色部分分隔线），微妙的纸张噪声纹理（不透明度：0.03），带硬边的滑入式页面过渡,奢华时尚电商移动端、社论出版物、高端组合应用、实验/前卫品牌、数字展览,娱乐、丰富多彩的品牌、友好的消费者应用程序、任何需要视觉温暖或渐变的东西,✓ Full (Light Mode Enforced),◐ Dark by section only (inverted sections),⚡ 非常好,✓ WCAG AAA（纯黑/白）,✓ 移动优先,◐ 中等,React Native 10/10、Expo 10/10、SwiftUI 9/10、Tailwind 9/10,2020 年代社论手机,中,"Design a minimalist monochrome mobile app. Use ONLY black (#000000) and white (#FFFFFF). Zero border-radius on every element. No shadows — depth is created by 1–4px black borders and color inversion only. Typography is the primary visual: Playfair Display for heroes (text-5xl–text-6xl, tracking-tighter, leading-[0.9]), Source Serif 4 for body, JetBrains Mono for labels/tags. Tap states instantly invert (bg-black text-white). Full-width horizontal rules separate sections. Use the word 'MENU' instead of hamburger icon.","border-radius: 0px (ALL elements including modals), box-shadow: none, active:bg-black active:text-white transition-none, border-b-4 border-black (section dividers), divide-y divide-black (lists), font-family: Playfair Display (headers) + Source Serif 4 (body) + JetBrains Mono (labels), background-image: noise SVG opacity-[0.03]",所有元素上的 0px 边框半径，任何地方都没有阴影，每次点击时即时反转（无过渡），4px 黑线将英雄与内容分开，尊重安全区域（pt-safe pb-safe），h-14 触摸目标，带有边框 b 的粘性部分标题，wr 版式英雄：文字跨越整个屏幕宽度，wrapper 背景上的纸张噪声纹理， ☐ 菜单文字标签图标的,"--color-bg: #FFFFFF, --color-fg: #000000, --color-muted: #F5F5F5, --color-muted-fg: #525252, --color-border: #000000, --color-border-light: #E5E5E5, --radius: 0px, --shadow: none, --border-hairline:1px 实心#E5E5E5, --border-thin:1px 实心#000000, --border-thick:2px 实心#000000, --border-heavy:4px 实心#000000, --font-display:普莱费尔展示, --font-body:源衬线 4, --font-mono:JetBrains Mono"
70,Modern Dark (Cinema Mobile),Mobile,"dark mode, cinematic, ambient light, glassmorphism, deep black, indigo, glow, blur, atmospheric, reanimated, haptic, premium, layered, frosted glass, linear gradient",深 #020203，底座 #050506，升高 #0a0a0c，重音 #5E6AD2,前景#EDEDEF、静音#8A8F98、强调发光 rgba(94 106 210/0.2)、边框 rgba(255 255 255/0.08)、表面 rgba(255 255 255/0.05),"Expo.out Bezier(0.16,1,0.3,1) 缓动；弹簧模态（阻尼：20 刚度：90）；触觉联动压力机（轻冲击/中冲击）；动画环境光斑点（重新动画平移 X/Y 缓慢振荡）； BlurView glassmorphism 标题/导航（强度 20）；刻度按 0.97→1.0；避免纯 #000000（OLED 拖尾）（玻璃拟态 / 磨砂玻璃风）",开发人员工具、专业生产力应用程序、金融科技/交易仪表板、媒体/流媒体平台、人工智能工具界面、高端游戏配套应用程序,需要温暖的消费者应用程序、儿童应用程序、黑暗感觉严酷的健康/医疗环境、需要最大对比度的高可访问环境,✓ Light mode only as exception,✓ Dark Mode Primary,⚠ 好（模糊效果需要原生驱动）,⚠ WCAG AA（需要仔细检查口音对比）,✓ 移动优先,◐ 中等,React Native 10/10、Expo 10/10、react-native-skia 9/10、SwiftUI 8/10,2020 年代电影手机,高,"Design a cinematic dark mobile app. Background: LinearGradient from #0a0a0f (top) to #020203 (bottom). Add 2–3 absolute animated 'blob' views: circular, blurRadius 30–50, opacity 0.08–0.12, slow Reanimated oscillation. Cards: borderRadius 16, border rgba(255,255,255,0.08) hairline, subtle top-edge shine gradient. Primary button: #5E6AD2, scale press 0.97, haptic on press. BlurView (intensity 20, tint dark) for tab bar and headers. Typography: Inter 700 for headers, 400 for body. Never use pure #000000. Accent glow: rgba(94,106,210,0.2) behind primary actions.","borderRadius: 16 (cards/buttons), background: LinearGradient #0a0a0f→#020203, border: StyleSheet.hairlineWidth rgba(255,255,255,0.08), BlurView intensity={20} tint='dark', useAnimatedStyle + withRepeat (blob oscillation), Easing.bezier(0.16,1,0.3,1), withSpring damping:20 stiffness:90, Haptics.impactAsync(ImpactFeedbackStyle.Light), scale: 0.97 press","✓ 无纯 #000000 背景， ✓ LinearGradient 基本屏幕， ✓ 动画环境斑点（重新启动，本机驱动程序）， ✓ 选项卡栏和标题上的 BlurView， ✓ 所有卡片上的 borderRadius 16， ✓ 每个可按下的触觉反馈， ✓ 使用 Bezier(0.16,1,0.3,1) 缓动， ✓ 主按钮后面的强调发光， ✓ 无纯灰色边框（仅限 rgba）， ☐ 底部表单替换所有模态","--bg-deep: #020203, --bg-base: #050506, --bg-elevated: #0a0a0c, --surface:RGBA(255 255 255/0.05), --foreground: #EDEDEF, --foreground-muted: #8A8F98, --accent: #5E6AD2, --accent-glow:RGBA(94 106 210/0.2), --border:RGBA(255 255 255/0.08), --radius: 16px, --easing:三次贝塞尔曲线(0.16 1 0.3 1), --font:国际米兰"
71,SaaS Mobile (High-Tech Boutique),Mobile,"saas, electric blue, gradient, fintech, spring animation, dual font, glassmorphism, boutique, premium, calistoga, inter, mono, tactile, haptic, bento",电光蓝 #0052FF，渐变端 #4D7CFF,背景#FAFAFA，前景#0F172A，静音#F1F5F9，卡片#FFFFFF，边框#E2E8F0,弹簧动画（质量：1 阻尼：15 刚度：120）；渐变按钮（0052FF→4D7CFF）；带触觉的刻度按 0.96→1.0；轻柔摆动的浮动 FAB（重生）； glassmorphism BlurView 导航栏；交错淡入入口（Y：20→0 + 不透明度：0→1）；部分徽章上的脉冲状态点；布局过渡（LayoutAnimation 或 Reanimated 输入）（玻璃拟态 / 磨砂玻璃风）,B2B SaaS 移动仪表板、金融科技应用程序、开发人员工具移动伴侣、营销分析应用程序、人力资源/运营应用程序、现代企业生产力,纯粹的消费娱乐、儿童应用程序、高度装饰性的生活方式应用程序，以及 Electric Blue 感觉过于企业化的环境,✓ Full,◐ Partial,⚡ 非常好,✓ WCAG AA,✓ 移动优先,✓ 高,React Native 10/10、Expo 10/10、NativeWind 10/10、SwiftUI 8/10、Flutter 9/10,2020 年代 SaaS 移动,中,"Design a high-tech boutique SaaS mobile app. Primary canvas: #FAFAFA (warm off-white). Cards: #FFFFFF with 1pt Slate-200 border, iOS shadow (shadowOpacity:0.1, shadowRadius:10, offset y:4), Android elevation:4, padding 24px, borderRadius 16. Buttons: LinearGradient #0052FF→#4D7CFF, height 56px, borderRadius 16, scale press 0.96 + haptic. Section badges: rounded pill with rgba(0,82,255,0.05) bg and rgba(0,82,255,0.2) border + PulseDot + JetBrains Mono text. Typography: Calistoga for heroes (36–42pt), Inter for body (16–18pt), JetBrains Mono for data labels. All screen transitions: spring (mass:1 damping:15 stiffness:120). Always include SafeAreaView.","borderRadius: 16 (buttons/cards), LinearGradient colors={['#0052FF','#4D7CFF']}, shadowOpacity: 0.1, shadowRadius: 10, elevation: 4, Haptics.impactAsync(ImpactFeedbackStyle.Light) on press, withSpring({mass:1, damping:15, stiffness:120}), withTiming Y:20→0 opacity:0→1 staggered entrance, LayoutAnimation.configureNext for list updates, BlurView on nav bars",bury SafeAreaView 包裹所有屏幕，所有触摸目标 ≥ 44×44px，Spring 配置用于所有转换，渐变按钮（非平面），每个可按下的触觉，带有 PulseDot 的部分徽章，屏幕安装上交错的入口动画，JetBrains Mono 用于数据标签，Calistoga 用于英雄标题，卡片上的海拔/阴影,"--bg: #FAFAFA, --fg: #0F172A, --muted: #F1F5F9, --accent: #0052FF, --accent-sec: #4D7CFF, --card: #FFFFFF, --border: #E2E8F0, --radius: 16px, --shadow:阴影不透明度 0.1 阴影半径 10, --spring:质量 1 阻尼 15 刚度 120, --font-display:卡利斯托加, --font-body:国际米兰, --font-mono:JetBrains Mono"
72,Terminal CLI (Mobile),Mobile,"terminal, cli, matrix green, monospace, hacker, ascii, command line, developer, web3, crypto, sci-fi, OLED, retro-future, field operative",矩阵绿色 #33FF00，OLED 黑色 #050505,琥珀色 #FFB000、柔和绿色 #1A3D1A、错误红色 #FF3333、边框绿色 #33FF00,闪烁光标（500 毫秒不透明度循环）、打字机文本显示挂钩、扫描线覆盖（重复线 0.05 不透明度）、ASCII 艺术标题、按下时即时颜色反转（背景-绿色文本-黑色）、每次击键时的触觉、启动时启动序列启动,开发者工具、Web3/区块链应用程序、极客文化应用程序、ARG 游戏、科幻/黑色游戏伴侣、黑客/安全工具、创意工作室组合,消费品、健康应用程序、任何需要平易近人或温暖的东西、儿童应用程序、标准企业环境,✗ No,✓ OLED Dark Only,⚡ 非常好,✓ 高对比度（黑底绿≫4.5:1 比例）,✓ 移动优先（OLED 优化）,✗ 低,React Native 10/10、Expo 10/10、NativeWind 9/10,复古未来 1980 年代至 2020 年代,中,"Design a Mobile Terminal CLI app. Background: #050505 OLED black. ALL text in Matrix Green #33FF00. Font: JetBrains Mono or SpaceMono ONLY — zero border-radius everywhere. ASCII borders using +, -, |, * characters instead of standard containers. Buttons displayed as [ EXECUTE ] or > PROCEED. On press: instantly inverts to green bg + black text + haptic. Cursor: blinking View opacity 0→1 at 500ms. Show boot sequence on launch (fake log scroll). Progress bars as [#####-----] text. Status bar footer: [BATTERY:88%] [NET:CONNECTED]. Scanline overlay: absolute View with repeating 1px horizontal lines at opacity 0.05. Typewriter effect on new data.","borderRadius: 0 (ALL elements), borderWidth: 1, borderColor: '#33FF00', backgroundColor: '#050505', color: '#33FF00', fontFamily: 'SpaceMono-Regular' or JetBrains Mono, fontSize: 12 or 14 or 16 only, lineHeight: 1.2x fontSize, Haptics.impactAsync(Light) on every press, useAnimatedValue blink 500ms, hitSlop: 12px all sides for bracketed buttons",无处不在的 0px 边框半径，卡片上的 ASCII 样式边框，启动时的启动顺序，闪烁光标组件，新内容的打字机挂钩，扫描线覆盖（0.05 不透明度），每次按下按钮时的触觉，页脚状态栏组件，所有括号按钮上的 hitSlop (44×44dp)，尊重减少运动,"--bg: #050505, --fg-primary: #33FF00, --fg-amber: #FFB000, --fg-muted: #1A3D1A, --fg-error: #FF3333, --border: #33FF00, --radius: 0px, --font:SpaceMono-Regular 或 JetBrains Mono, --font-sizes:仅限 12 14 16, --blink-duration: 500ms, --scanline-opacity: 0.05"
73,Kinetic Brutalism (Mobile),Mobile,"kinetic, brutalism, motion, marquee, acid yellow, uppercase, oversized, aggressive typography, street, zine, high contrast, scroll-driven, haptic, reanimated",酸性黄#DFE104，浓郁黑#09090B,灰白色 #FAFAFA、深灰色 #27272A、锌 #A1A1AA、边框锌 #3F3F46,无限选取框（重新动画、线性缓动、5 秒循环、硬剪辑）、英雄视差（缩放 1.0→1.3 + 淡入淡出）、粘性部分标题推送、按下时卡片洪水反转（bg→#DFE104、文本→#000000）、每次按下时的触觉中等、滚动触发的插值变换、0px 半径、2px 边框、100ms 颜色过渡,沉浸式讲故事应用程序、品牌旗舰手机、音乐/文化平台、体育应用程序、地下杂志、限量版产品掉落、绩效仪表板,平静的信息应用程序、医疗保健、需要信任的金融环境、儿童以及任何不适合使用激进排版的环境,✓ Dark Primary,◐ Dark only (inverted sections),⚡ 非常好（需要本地司机）,⚠ WCAG AA（验证深色背景上的锌正文文本）,✓ 移动优先,✓ 高能量,React Native 10/10、Expo 10/10、Reanimated 10/10、NativeWind 9/10,2020 年代移动野蛮主义,高,"Design a Kinetic Brutalism mobile app. Canvas: #09090B. Primary accent: Acid Yellow #DFE104 (text: #000000). Typography: Space Grotesk BOLD. Display text: 60–120pt, uppercase, letterSpacing -1, lineHeight 0.9–1.1x. Body: 18–20pt. Labels: 12pt uppercase letterSpacing +2. Add infinite marquee rows (Reanimated, no easing, hard edge clip). Hero text parallax on scroll (Interpolate: scale 1.0→1.3, opacity 1→0). Card press: instantly flood to #DFE104 + flip text to #000. Haptic Medium on every press. 0px radius. 2px solid borders. NO shadows. No gradients. Scale all fonts by (windowWidth / 375 * size) for responsiveness.","borderRadius: 0, borderWidth: 2, borderColor: '#3F3F46', backgroundColor: '#09090B', color: '#FAFAFA', fontWeight: '800 or 900', letterSpacing: -1 (large) or 2 (labels), lineHeight: 0.9–1.1 * fontSize, Reanimated withRepeat marquee timing 5000ms Easing.linear, Interpolate scroll→scale + opacity, Haptics.impactAsync(Medium), scale press: 0.95, 100ms color transitions",无限选框行（重新动画，无淡入淡出边缘），英雄视差滚动（缩放+不透明度插值），所有显示文本大写，0px 边框半径，2px 边框，按下时酸性黄卡泛滥，每次交互时触觉介质，字体缩放助手（窗口宽度/375*大小），大型标题的安全区域，减少运动停止帐篷,"--bg: #09090B, --fg: #FAFAFA, --muted: #27272A, --muted-fg: #A1A1AA, --accent: #DFE104, --accent-fg: #000000, --border: #3F3F46, --radius: 0px, --border-width: 2px, --shadow: none, --marquee-speed: 5000ms, --press-duration: 100ms, --font:太空 Grotesk 或 Inter"
74,Flat Design Mobile (Touch-First),Mobile,"flat, 2D, no shadow, color blocking, geometric, bold, poster, icon, touch-first, minimal, clean, tailored, cross-platform",蓝色 #3B82F6，祖母绿 #10B981,背景#FFFFFF，表面#F3F4F6，文本#111827，琥珀色#F59E0B，边框#E5E7EB,立即按下反馈（比例 0.97，无延迟）、颜色部分块（全角对比视图）、零标高/阴影、实心图标容器（彩色正方形/圆形）、几何低不透明度形状覆盖、底部选项卡实心填充（无浮动）,跨平台应用程序（iOS+Android 平价）、信息密集的仪表板、系统 UI、品牌插图、入门流程、营销页面、图标设计,需要深度/阴影的超高级环境、黑暗模式优先的产品、扁平化设计看起来像是未完成或无菌的环境,✓ Full,◐ Partial (Dark mode via color swap only),⚡ 非常好（没有 GPU 效果）,✓ WCAG AA（大粗体有帮助）,✓ 移动优先,✓ 高,React Native 10/10、Expo 10/10、NativeWind 10/10、Flutter 9/10、SwiftUI 9/10,2010 年代–2020 年代平板手机,低,"Design a Flat Mobile app. NO shadows (shadowOpacity: 0, elevation: 0). Color creates all hierarchy. Sections: full-width View blocks alternating contrasting bg colors (Blue Hero → White Content → Gray Block). Buttons: solid #3B82F6, borderRadius 8, height 56. Cards: backgroundColor #FFFFFF (on gray bg) or #DBEAFE (blue tint) — no shadow. Text: fontWeight 800 letterSpacing -0.5 (heads), 600 (sub), 400 (body). Inputs: #F3F4F6 bg, focused: borderWidth 2 borderColor #3B82F6. Icons: Lucide strokeWidth 2.5 inside solid colored square/circle. Press feedback: scale 0.97 Pressable. Use position absolute low-opacity geometric shapes (circles, rotated squares) as background decoration.","shadowOpacity: 0, elevation: 0, borderRadius: 6/12/999, height: 48 minimum touch targets, spacing: 4/8/16/24/32/48 system, backgroundColor (section blocking), Pressable scale: pressed ? 0.97 : 1, fontWeight: '800' heads / '600' sub / '400' body, letterSpacing: -0.5 heads / 1 labels, textTransform: 'uppercase' labels, strokeWidth={2.5} icons, borderWidth: 3/4 for featured CTAs",所有元素上的零高度和阴影不透明度，色块部分（不是边框），所有触摸目标≥48×48，平面元素上没有渐变，纯色容器内的图标，可按比例反馈，几何形状作为背景装饰，粗体平底标签（无浮动），主标题比正文大得多，整个 4 点间距系统,"--bg: #FFFFFF, --surface: #F3F4F6, --fg: #111827, --primary: #3B82F6, --secondary: #10B981, --accent: #F59E0B, --border: #E5E7EB, --radius-sm: 6px, --radius-md: 12px, --radius-pill: 999px, --shadow: none, --elevation: 0, --touch-target: 48px, --spacing: 4 8 16 24 32 48"
75,Material You (MD3 Mobile),Mobile,"material design 3, md3, tonal surfaces, pills, soft curves, android, md3 easing, state layers, haptic, fab, google",主要紫罗兰 #6750A4，次要容器 #E8DEF8，第三次容器 #7D5260,表面 #FFFBFE、表面 #1C1B1F、表面容器 #F3EDF7、轮廓 #79747E,"色调提升（覆盖颜色而不是强烈的阴影）、药丸状按钮和碎片（borderRadius 999）、强调缓动 Easing.bezier(0.2,0,0,1)、状态层（按下覆盖 10–15% 不透明度）、用于输入的重新填充标签浮动、FAB/切换上的 HapticFeedback",Android 生态系统应用程序、跨平台生产力工具、基于 MD3 的管理面板、带有 Material UI 的数据密集型后台 UI,超简约的野兽派品牌、终端/黑客美学、单色编辑应用程序,✓ Full,✓ Full,⚠ 好（需要渐变和叠加）,✓ WCAG AA（带 MD3 令牌检查）,✓ 移动优先,✓ 高,React Native 9/10，博览会 10/10，React Native 论文 9/10,材料设计 3,中,"Design a Material You (MD3) mobile app. Use #FFFBFE background, #6750A4 primary, #E8DEF8 secondary container, #F3EDF7 surface container. All interactive elements are pill-shaped (borderRadius: 999). Buttons use Pressable with scale: 0.95 on press and state-layer overlays (black 10% or primary 12%). Inputs use filled M3 style: background #E7E0EC with floating label animation on focus. Elevation is tonal (layering containers) plus light shadow/elevation on Android. Animations use emphasized easing (0.2,0,0,1) at 100–400ms. FABs are tertiary-colored rounded squares/circles with level 3 elevation.","borderRadius: 999 (buttons/chips), containerRadius: 16–28, backgroundColor: '#FFFBFE', colorPrimary: '#6750A4', colorSecondaryContainer: '#E8DEF8', colorSurfaceContainer: '#F3EDF7', outlineColor: '#79747E', Pressable state-layer overlay (opacity 0.1–0.15), Easing.bezier(0.2,0,0,1), HapticFeedback.impactMedium on FAB, floating label using Reanimated translateY/scale",应用 MD3 颜色标记（背景/表面/容器），所有 CTA 均为药丸形状，状态层覆盖而不是不透明度 0.5 黑客，强调对所有动画使用缓动，实现浮动标签输入，FAB 使用具有正确高度的第三颜色，尊重有机形状的安全区域，无纯白色背景，无刺眼的盒阴影（仅环境）,"--md3-bg: #FFFBFE, --md3-on-surface: #1C1B1F, --md3-primary: #6750A4, --md3-on-primary: #FFFFFF, --md3-secondary-container: #E8DEF8, --md3-on-secondary-container: #1D192B, --md3-tertiary: #7D5260, --md3-surface-container: #F3EDF7, --md3-outline: #79747E, --radius-pill: 999px, --easing-emphasized:三次贝塞尔曲线(0.2,0,0,1)"
76,Neo Brutalism (Mobile),Mobile,"neo brutalism, pop art, stickers, thick borders, cream background, hot red, vivid yellow, soft violet, hard offset shadow, mechanical press, collage",奶油色#FFFDF5、热红#FF6B6B、鲜艳黄#FFD93D,柔和的紫罗兰 #C4B5FD、纯黑色 #000000、白色 #FFFFFF,所有主要元素上的粗 4px 黑色边框、硬偏移阴影（4–8px，无模糊）、机械压力机：translateX/Y 等于阴影偏移、稍微旋转的卡片/徽章 (-2deg/2deg)、高饱和度色块、仅弹簧/线性动画,创意工具、协作平台、Z 世代营销和电子商务、作品集网站、贴纸书风格内容应用程序,严肃的企业应用程序、保守的行业、冷静的金融科技、可访问性优先的环境（必须调整对比度）,✓ Light-first,✗ Dark,⚠ 中等（阴影+变换）,⚠ 需要仔细调整对比度,✓ 移动优先,✓ 高,React Native 10/10、Expo 10/10、NativeWind 9/10,2020 年代新粗野主义 / 新丑风,高,"Design a Mobile Neo-Brutalist app. Background: Cream #FFFDF5. All content blocks: white or violet with borderWidth 4 borderColor #000. Shadows are solid offset blocks (no blur) using an extra View behind offset by 4px or 8px. Typography: Space Grotesk Bold/Black only (700–900). Buttons: 56px tall, 4px border, 0 radius; press animation translates button to cover the shadow. Cards slightly rotated (-1deg, 2deg). Colors: Hot Red #FF6B6B for primary, Yellow #FFD93D for focus/badges, Soft Violet #C4B5FD as tertiary. Animation: spring/linear only, no ease-out luxury motion.","borderWidth: 4 (primary), 2 (secondary), borderRadius: 0 or 999 (badges only), backgroundColor: '#FFFDF5', shadow implemented as offset View, transform: [{translateX:4},{translateY:4}] on PressIn, fontFamily: 'SpaceGrotesk-Bold', fontWeight: '700/900', transform: [{ rotate: '-1deg' }] on cards, padding: 20","☐ 4px borders on major elements, ☐ Hard offset shadow implemented via extra View, ☐ Mechanical press hides shadow, ☐ Cream canvas background, ☐ Pop-art color palette used, ☐ Cards/badges slightly rotated, ☐ No gradients or soft shadows, ☐ Only bold/black type weights, ☐ Badges slapped with absolute positioning, ☐ Anti-patterns (no subtle gray, no blur) avoided","--bg: #FFFDF5, --ink: #000000, --accent-primary: #FF6B6B, --accent-secondary: #FFD93D, --accent-muted: #C4B5FD, --white: #FFFFFF, --border-primary:4px 实心#000000, --shadow-offset-small: 4px, --shadow-offset-medium: 8px, --radius: 0px, --radius-pill: 999px, --font:太空格罗泰斯克"
77,Bold Typography (Mobile Poster),Mobile,"bold typography, editorial, poster, broadsheet, vermillion, negative space, edge-to-edge type, underline CTA, near-black, warm white",近黑色 #0A0A0A，暖白色 #FAFAFA,静音 #1A1A1A，辅助文本 #737373，重音朱红色 #FF3D00，边框 #262626,英雄标题 48–72px（5:1 与正文尺寸）、紧密跟踪（-1.5px）、边到边类型、大垂直间距 (60px+)、下划线 CTA（2–3px 强调线）、即时 200 毫秒过渡（无反弹）、严格 0px 半径容器、活动状态而不是高度的颜色变化,创意品牌英雄、以阅读为中心的应用程序、活动/展览页面、编辑移动体验、登陆英雄部分,实用仪表板、儿童应用程序、有趣的消费产品、需要许多图标或大量图像的环境,✓ Dark Mode Primary,◐ Light sections optional,⚡ 非常好,✓ 可实现 18:1 对比度,✓ 移动优先,✓ 高,React Native 10/10，世博会 10/10,2020 年代社论,中,"Design a Bold Typography mobile screen. Background #0A0A0A, text #FAFAFA, accent #FF3D00. Use Inter Tight/Inter 600+ for all type; JetBrains Mono for labels. Headline: 56–72px, tracking -1.5, lineHeight 1.1, full-bleed width with slight bleed off-screen. Body: 16–18px, leading 1.6. Buttons: underline CTA (accent text + 2px underline block), or inverted box with 0 radius. No shadows, no rounded corners. Layout: single column, paddingHorizontal 24, vertical gaps 64 between sections. Animation: 200ms, Easing.bezier(0.25,0,0,1), slight slide-up 10px + fade on mount.","backgroundColor: '#0A0A0A', color: '#FAFAFA', accent: '#FF3D00', borderColor: '#262626', borderRadius: 0, paddingHorizontal: 24, headline style: fontSize:56–72, fontWeight:'700/800', letterSpacing:-1.5, lineHeight:1.1*fontSize, body: fontSize:16–18, lineHeight:1.6*fontSize, underline CTA: 2–3px height View under text, transition: 200ms cubic-bezier(0.25,0,0,1)",† H1 至少为主体尺寸的 4–5 倍， † 所有容器半径为 0， † 使用下划线 CTA 图案， † 各部分之间垂直间隙较大， † 无阴影或软角， † 强调仅用于交互， † 文本渗入/超出屏幕边缘， † 动画计时 200 毫秒， † 易于理解的对比度 ≥ 18:1， † 正文绝不会低于 16px,"--bg: #0A0A0A, --fg: #FAFAFA, --muted: #1A1A1A, --muted-fg: #737373, --accent: #FF3D00, --accent-fg: #0A0A0A, --border: #262626, --font-primary:内部紧绷, --font-display:Playfair 显示斜体, --font-mono:JetBrains Mono"
78,Academia (Scholarly Mobile),Mobile,"academia, library, mahogany, parchment, brass, crimson, serif, drop cap, arch-top, vignette, leather, scholarly, tactile",桃花心木 #1C1714，橡木 #251E19,羊皮纸 #E8DFD4、磨损皮革 #3D332B、褪色墨水 #9C8B7A、黄铜 #C9A962、图书馆深红色 #8B2635,深桃花心木背景、橡木表面卡、黄铜重音 CTA、拱顶英雄/图像、重插图覆盖、棕褐色图像、黄铜 Cinzel 首字下沉、罗马数字卷标题、基于时间的慢速动画 (Easing.out poly(4))、零霓虹灯或现代科技提示,知识管理应用程序、深度阅读工具、注重仪式的个人品牌、注重传说的 RPG/角色扮演应用程序、特定文化的社区平台,超现代科技仪表板、霓虹灯/玻璃拟态 / 磨砂玻璃风、有趣的 Z 世代品牌,✓ Dark Rich,◐ Light parchment sections,⚠ 中等（晕影 + 阴影）,✓ 清晰易读（衬线优化）,◐ 移动优先,◐ 中等,React Native 9/10，世博会 10/10,永恒的学术,高,"Design a Scholarly Academia mobile app. Background #1C1714 (mahogany), alt surfaces #251E19 (oak), text #E8DFD4 (parchment). Accent brass #C9A962 for CTAs + borders; crimson #8B2635 for wax seals. Typography: Cormorant Garamond (headings), Crimson Pro (body), Cinzel (labels/overlines). Use arch-top hero containers (borderTopRadius 100). Cards: oak bg, 1px wood-grain border. Inputs: worn-leather background, brass focus border. Global vignette overlay and ornate brass dividers (Unicode glyph + gradient line). Animations: no spring, only Timing with Easing.out(Easing.poly(4)).","backgroundColor: '#1C1714', altSurface: '#251E19', textColor: '#E8DFD4', mutedBg: '#3D332B', borderColor: '#4A3F35', brass: '#C9A962', crimson: '#8B2635', borderRadius: 4 (default), archTopRadius: 100 for hero, shadowOpacity:0.4 shadowRadius:6 elevation:8 for cards, textShadow on headings, vignette overlay via LinearGradient",应用桃花心木/橡木/羊皮纸调色板，所有可点击项目均使用黄铜，英雄/卡片中使用拱顶图像，使用首字下沉和罗马数字，存在晕影覆盖，无无衬线体字体，无霓虹灯/明亮的现代色彩，动画使用非弹簧计时，输入使用磨损皮革风格，实施蜡封徽章,"--bg: #1C1714, --bg-alt: #251E19, --fg: #E8DFD4, --muted: #3D332B, --muted-fg: #9C8B7A, --border: #4A3F35, --accent-brass: #C9A962, --accent-crimson: #8B2635, --radius: 4px, --arch-radius: 100px, --shadow-card:0 4px 6px rgba(0,0,0,0.4), --font-heading:鸬鹚加拉蒙德, --font-body:深红专业版, --font-label:辛泽尔"
